match_id,team_id,total_presses,high_speed_presses,press_disruptions,recovery_press_count,high_press_count,coordinated_press_chains,press_force_backward,total_off_ball_runs,runs_behind_defense,runs_ahead_of_ball,runs_pulling_wide,runs_coming_short,runs_overlap,runs_underlap,runs_cross_receiver,runs_dropping_off,line_breaking_runs,simultaneous_runs,phases_build_up,phases_create,phases_finish,phases_direct,phases_chaotic,phases_transition,phases_quick_break,phases_set_play,phases_lead_to_shot,phases_lead_to_goal,phases_possession_loss,direct_buildup_to_finish,set_play_shots,quick_break_shots,total_hsr_events,total_sprint_events,total_player_possessions,one_touch_plays,quick_passes,forward_possessions,poss_in_attacking_third,possessions_lead_to_shot,dangerous_passes
2017461,868,320,59,8,82,60,60,8,234,8,74,18,23,11,5,19,32,0,182,21,70,39,29,58,6,1,13,11,0,134,0,0,1,187,32,495,157,79,9,132,31,0
2017461,4177,501,79,4,120,59,111,20,226,20,60,9,29,10,7,27,13,6,228,9,45,25,15,85,11,2,8,12,1,134,0,2,2,212,43,344,134,52,5,75,28,0
2015213,1803,455,81,20,96,100,191,34,224,22,68,15,29,6,3,15,25,3,226,37,64,22,19,89,2,5,6,12,4,131,0,2,3,202,49,413,148,71,6,72,26,0
2015213,4177,378,96,23,97,101,134,21,306,15,95,38,49,7,6,18,33,2,268,35,90,37,26,62,5,1,6,19,2,133,0,2,0,225,36,512,177,98,7,61,28,0
2013725,1803,501,80,15,119,93,158,28,287,23,81,14,43,5,0,20,44,3,280,36,71,20,19,66,5,11,7,20,1,138,0,3,4,216,58,492,159,100,5,82,41,0
2013725,869,453,97,22,97,156,181,22,225,30,53,8,37,5,4,19,38,3,158,25,72,40,21,68,8,5,12,16,0,138,0,2,1,178,39,507,162,98,12,114,24,0
2011166,867,408,64,5,99,37,84,16,200,21,60,6,24,6,2,24,20,7,184,27,53,24,20,61,4,2,9,13,4,115,0,2,1,171,49,363,137,61,3,73,24,0
2011166,868,362,49,3,64,116,118,11,237,11,82,15,18,10,4,18,23,1,184,23,64,47,18,54,5,5,13,41,4,114,0,3,2,165,31,421,142,56,7,144,56,0
2006229,2380,379,68,39,74,102,218,25,325,41,69,20,50,6,9,32,52,8,256,33,86,53,16,39,2,1,9,26,5,96,0,1,0,179,27,587,150,114,9,135,31,0
2006229,1804,521,64,17,109,93,202,48,185,11,44,19,27,6,5,13,27,0,106,37,72,20,18,40,3,2,7,5,0,97,0,1,1,123,15,407,135,54,6,44,10,0
1996435,869,482,82,9,103,145,222,22,285,17,85,8,35,12,10,23,20,2,248,40,80,48,11,34,3,1,12,41,18,95,0,2,0,220,33,553,165,96,7,165,42,0
1996435,866,573,75,33,143,118,204,28,249,24,76,19,29,5,4,30,20,3,184,42,74,39,13,39,3,1,8,26,3,98,0,1,1,201,35,485,150,101,10,90,35,0
1953632,870,460,85,25,74,51,195,35,155,9,36,8,38,4,2,1,26,3,104,37,56,13,19,49,2,1,7,3,1,89,0,2,1,139,19,340,111,61,1,36,9,0
1953632,2380,322,60,20,51,112,163,34,302,27,71,30,43,7,6,20,66,7,220,33,103,45,20,27,3,4,12,12,1,88,0,2,2,161,21,657,143,140,3,97,23,0
1925299,1802,368,77,27,81,91,130,29,265,7,71,28,43,10,6,14,35,1,164,31,91,60,20,46,0,6,8,27,0,114,0,2,2,153,20,663,150,137,13,175,42,0
1925299,871,562,44,4,128,59,137,34,230,4,81,17,30,4,5,23,33,0,180,40,70,33,25,55,4,1,2,15,4,112,0,1,0,126,19,399,127,72,1,66,26,0
1899585,4177,440,78,23,86,134,168,33,220,7,59,19,19,18,8,27,13,0,134,16,62,52,18,58,5,3,9,23,1,116,0,4,2,180,26,477,152,89,7,177,50,0
1899585,867,489,55,3,109,57,94,16,248,24,66,11,35,6,4,19,34,6,218,33,80,29,23,60,4,2,6,8,3,116,0,0,0,188,29,452,133,99,4,81,13,0
1886347,4177,452,69,22,100,159,231,22,340,17,78,24,46,13,17,52,40,9,316,24,79,61,11,49,3,3,16,28,3,96,0,7,1,218,31,530,112,110,5,156,40,0
1886347,1805,485,62,18,106,67,147,44,259,25,69,18,54,2,3,9,37,4,238,39,77,28,12,48,0,0,4,18,0,100,0,1,0,171,26,469,157,111,8,51,19,0
